district,flood_count,flood_risk_freq,flood_risk_area,flood_risk
kamrup metropolitan,0.0,0.0,0.5580227814910232,0.279
shahid bhagat singh nagar,22.0,0.0952380952380952,0.4616816012583921,0.2785
hojai,77.0,0.3333333333333333,0.2182148790965092,0.2758
imphal east,12.0,0.0519480519480519,0.4992284581926103,0.2756
pashchim champaran,64.0,0.277056277056277,0.2692795552538466,0.2732
kheri,58.0,0.2510822510822511,0.2938011602530511,0.2724
tinsukia,78.0,0.3376623376623376,0.2066504657536638,0.2722
guntur,34.0,0.1471861471861472,0.3912796340645178,0.2692
gurdaspur,45.0,0.1948051948051948,0.3382633619130454,0.2665
hooghly,31.0,0.1341991341991342,0.3977525157951787,0.266
chirang,95.0,0.4112554112554112,0.1208155325265772,0.266
kozhikode,113.0,0.4891774891774891,0.0339169277383923,0.2615
shimla,113.0,0.4891774891774891,0.0311497886173598,0.2602
rupnagar,41.0,0.1774891774891775,0.3411909836587313,0.2593
supaul,47.0,0.2034632034632034,0.3110768356982675,0.2573
biswanath,87.0,0.3766233766233766,0.1335908463105858,0.2551
sirsa,22.0,0.0952380952380952,0.4146579182037866,0.2549
kottayam,102.0,0.4415584415584415,0.0643781273878806,0.253
idukki,116.0,0.5021645021645021,0.0001986868728903,0.2512
bhadrak,32.0,0.1385281385281385,0.3557782457330894,0.2472
kannur,91.0,0.3939393939393939,0.0998016440484472,0.2469
malappuram,97.0,0.4199134199134199,0.0710569954379553,0.2455
purnia,51.0,0.2207792207792207,0.2675824860285525,0.2442
azamgarh,52.0,0.2251082251082251,0.2545077793241616,0.2398
nagapattinam,27.0,0.1168831168831168,0.3585564871231803,0.2377
north twenty four pargan,0.0,0.0,0.4752190839061304,0.2376
siwan,45.0,0.1948051948051948,0.2797298069146555,0.2373
thane,97.0,0.4199134199134199,0.0530705106963375,0.2365
maldah,17.0,0.0735930735930736,0.3961165088168711,0.2349
fatehabad,15.0,0.0649350649350649,0.4040313794081897,0.2345
bahraich,72.0,0.3116883116883117,0.1557826586243713,0.2337
cooch behar,33.0,0.1428571428571428,0.3175631587111303,0.2302
araria,43.0,0.1861471861471861,0.270913244301117,0.2285
sitamarhi,60.0,0.2597402597402597,0.1955675952389249,0.2277
fatehpur,48.0,0.2077922077922078,0.2411626607800548,0.2245
